id,road_name,city1_ID,city2_ID,road_distance
1,Al-Quds road,2,1,22.6
2,Al-Khalil road,1,8,9.5
3,Jericho-Al-Quds road,13,1,44.4
4,Yaffa-Alquds road,7,1,64.6
5,Nablus road,2,5,73.9
6,Allon road,13,2,57.7
7,road 60,8,3,39.9
8,road 40,3,6,102
9,road 25,4,6,60
10,Amman road,5,9,44
11,Haifa road,5,11,40.8
12,road 60,6,3,60
13,road 5,11,7,59.5
14,road 60,9,14,31.2
15,road 22,10,12,25.5
16,Al-Sikkeh road,11,9,50.5
17,road 77,12,14,41
18,Ghandy road,5,13,111
19,road 79,14,12,44.8
20,road 31,15,6,47.2
21,road 3,7,4,88
22,road 22,14,10,48.5
23,Al-Bahr Al-Mayet road,13,15,119
